instance,best_hv,sms_mean,mole_mean,nsga_mean,sms_normalize,nsga_normalize,mole_normalize
Bi-Objective BBOB_2_2_1,0.995822561,0.995804314,0.995670982,0.995807789,0.999981676,0.999985166,0.999847785
Bi-Objective BBOB_2_2_10,0.947432431,0.947413452,0.947156821,0.947398567,0.999979968,0.999964257,0.999709098
Bi-Objective BBOB_2_2_2,0.917892815,0.91783836,0.917112155,0.917808213,0.999940674,0.99990783,0.999149508
Bi-Objective BBOB_2_2_3,0.990979166,0.990960387,0.990501181,0.990962941,0.99998105,0.999983627,0.999517664
Bi-Objective BBOB_2_2_4,0.956280253,0.956246707,0.954994785,0.956230323,0.99996492,0.999947787,0.998655762
Bi-Objective BBOB_2_2_5,0.960749327,0.960729979,0.887802151,0.960719664,0.999979862,0.999969125,0.924072624
Bi-Objective BBOB_2_2_6,0.8753864,0.875303265,0.874327196,0.875256725,0.99990503,0.999851866,0.998790015
Bi-Objective BBOB_2_2_7,0.83240391,0.832343538,0.830886344,0.832300908,0.999927473,0.999876259,0.998176888
Bi-Objective BBOB_2_2_8,0.829465052,0.82934912,0.827621324,0.829290422,0.999860232,0.999789466,0.997777208
Bi-Objective BBOB_2_2_9,0.991879826,0.991865385,0.99136689,0.991865414,0.99998544,0.99998547,0.999482864
Bi-Objective BBOB_2_20_1,0.995718026,0.99567471,0.41740796,0.995631302,0.999956498,0.999912903,0.419202977
Bi-Objective BBOB_2_20_10,0.994832672,0.99481768,0.994691435,0.994603751,0.999984931,0.99976989,0.999858029
Bi-Objective BBOB_2_20_2,0.910960748,0.909836677,0.909400594,0.909937261,0.99876606,0.998876475,0.998287353
Bi-Objective BBOB_2_20_3,0.98577793,0.985686659,0.985637363,0.985505412,0.999907412,0.999723551,0.999857405
Bi-Objective BBOB_2_20_4,0.890180221,0.890062121,0.884352841,0.889895603,0.99986733,0.999680269,0.993453707
Bi-Objective BBOB_2_20_5,0.980549387,0.980355089,0.980414604,0.980327555,0.999801848,0.999773768,0.999862544
Bi-Objective BBOB_2_20_6,0.869043334,0.868234619,0.868144038,0.867970077,0.999069419,0.998765013,0.998965189
Bi-Objective BBOB_2_20_7,0.951115688,0.813231287,0.39650205,0.812941873,0.85502878,0.854724492,0.416880991
Bi-Objective BBOB_2_20_8,0.840742966,0.84061833,0.839349633,0.840446695,0.999851754,0.999647609,0.998342736
Bi-Objective BBOB_2_20_9,0.998339921,0.998038737,0.998036587,0.997969014,0.999698315,0.999628477,0.999696161
Bi-Objective BBOB_2_21_1,0.999736618,0.999658579,0.999636164,0.999687789,0.99992194,0.999951158,0.999899519
Bi-Objective BBOB_2_21_10,0.940893377,0.928047335,0.78608439,0.929713006,0.986346974,0.988117281,0.835465961
Bi-Objective BBOB_2_21_2,0.985471502,0.985184623,0.98510732,0.985256719,0.999708892,0.999782051,0.999630449
Bi-Objective BBOB_2_21_3,0.973889905,0.973669767,0.972156578,0.973699733,0.99977396,0.999804729,0.998220203
Bi-Objective BBOB_2_21_4,0.999788754,0.999627986,0.825633803,0.99965842,0.999839198,0.999869639,0.825808252
Bi-Objective BBOB_2_21_5,0.890725681,0.890552905,0.88975773,0.89032856,0.999806027,0.99955416,0.9989133
Bi-Objective BBOB_2_21_6,0.998906462,0.998482916,0.994067627,0.99842037,0.99957599,0.999513375,0.995155867
Bi-Objective BBOB_2_21_7,0.862088181,0.861927823,0.861529737,0.861644494,0.999813988,0.999485334,0.99935222
Bi-Objective BBOB_2_21_8,0.986058931,0.985476471,0.813251714,0.985432175,0.999409305,0.999364383,0.824749605
Bi-Objective BBOB_2_21_9,0.972494612,0.967065115,0.966937425,0.966945788,0.994416938,0.994294237,0.994285637
Bi-Objective BBOB_2_22_1,0.700916438,0.698798208,0.686236679,0.69911555,0.996977914,0.997430666,0.979056335
Bi-Objective BBOB_2_22_10,0.92839162,0.926772177,0.92277694,0.926874233,0.998255647,0.998365574,0.993952251
Bi-Objective BBOB_2_22_2,0.999055969,0.998767096,0.99702476,0.998792253,0.999710854,0.999736035,0.997966872
Bi-Objective BBOB_2_22_3,0.678523358,0.678226264,0.675776473,0.678062372,0.999562146,0.999320603,0.995951672
Bi-Objective BBOB_2_22_4,0.846367985,0.842752134,0.427348799,0.84405514,0.995727803,0.997267329,0.504920799
Bi-Objective BBOB_2_22_5,0.85603995,0.849014579,0.837327917,0.85030345,0.991793173,0.993298794,0.978141168
Bi-Objective BBOB_2_22_6,0.977995691,0.968672317,0.861846893,0.973347473,0.990466856,0.9952472,0.881237925
Bi-Objective BBOB_2_22_7,0.9100447,0.905089053,0.300664712,0.907622703,0.994554501,0.997338595,0.330384553
